Model,Accuracy,ROC AUC
XGBoost,0.800910125142207,0.8408094583320204
Logistic Regression,0.8065984072810012,0.8401841442236402
Random Forest,0.7935153583617748,0.8349510778789743
Support Vector Machine,0.7969283276450512,0.7954667215129616
